best_x,best_y,best_combined,pairs_lt_80,pairs_lt_90,pairs_lt_95,pairs_lt_98,pairs_lt_100,cost_10,slip_10,cost_50,slip_50,cost_100,slip_100,cost_250,slip_250,ts,asset,combo,secs_to_close,kalshi_ticker,okx_inst
0.52,0.64,1.16,0.0,0.0,0.0,0.0,0.0,1.3895,22.95,1.4492,28.92,1.4856,32.56,1.5074,34.74,2026-09-21T11:17:06+00:00,SOL,A,773,KXSOL15M-26SEP210730-30,SOL-UPDOWN-15MIN-260921-1915-1930
0.49,0.57,1.06,0.0,0.0,0.0,0.0,0.0,1.3525,29.25,1.4153,35.53,1.4486,38.86,1.4723,41.23,2026-09-21T11:17:06+00:00,SOL,B,773,KXSOL15M-26SEP210730-30,SOL-UPDOWN-15MIN-260921-1915-1930
0.36,0.73,1.09,0.0,0.0,0.0,0.0,0.0,1.2385,14.85,1.2873,19.73,1.3182,22.82,1.3367,24.67,2026-09-21T11:17:28+00:00,BTC,A,751,KXBTC15M-26SEP210730-30,BTC-UPDOWN-15MIN-260921-1915-1930
0.65,0.44,1.09,0.0,0.0,0.0,0.0,0.0,1.4995,40.95,1.5715,48.15,1.6053,51.53,1.6255,53.55,2026-09-21T11:17:28+00:00,BTC,B,751,KXBTC15M-26SEP210730-30,BTC-UPDOWN-15MIN-260921-1915-1930
0.55,0.89,1.44,0.0,0.0,0.0,0.0,0.0,1.44,0.0,1.482,4.2,1.511,7.1,1.5334,9.34,2026-09-21T11:17:28+00:00,ETH,A,751,KXETH15M-26SEP210730-30,ETH-UPDOWN-15MIN-260921-1915-1930
0.46,0.89,1.35,0.0,0.0,0.0,0.0,0.0,1.35,0.0,1.392,4.2,1.421,7.1,1.4386,8.86,2026-09-21T11:17:28+00:00,ETH,B,751,KXETH15M-26SEP210730-30,ETH-UPDOWN-15MIN-260921-1915-1930
0.57,0.57,1.14,0.0,0.0,0.0,0.0,0.0,1.4325,29.25,1.4953,35.53,1.5286,38.86,1.5543,41.43,2026-09-21T11:17:28+00:00,SOL,A,751,KXSOL15M-26SEP210730-30,SOL-UPDOWN-15MIN-260921-1915-1930
0.44,0.68,1.12,0.0,0.0,0.0,0.0,0.0,1.3295,20.95,1.3867,26.67,1.4193,29.93,1.4399,31.99,2026-09-21T11:17:28+00:00,SOL,B,751,KXSOL15M-26SEP210730-30,SOL-UPDOWN-15MIN-260921-1915-1930
0.46,0.64,1.1,0.0,0.0,0.0,0.0,0.0,1.3295,22.95,1.3855,28.55,1.4173,31.73,1.4363,33.63,2026-09-21T11:17:49+00:00,BTC,A,730,KXBTC15M-26SEP210730-30,BTC-UPDOWN-15MIN-260921-1915-1930
0.55,0.54,1.09,0.0,0.0,0.0,0.0,0.0,1.4095,31.95,1.4735,38.35,1.5063,41.63,1.5259,43.59,2026-09-21T11:17:49+00:00,BTC,B,730,KXBTC15M-26SEP210730-30,BTC-UPDOWN-15MIN-260921-1915-1930
0.66,0.89,1.55,0.0,0.0,0.0,0.0,0.0,1.55,0.0,1.5952,4.52,1.6276,7.76,1.6494,9.94,2026-09-21T11:17:49+00:00,ETH,A,730,KXETH15M-26SEP210730-30,ETH-UPDOWN-15MIN-260921-1915-1930
